# ztsc vs tsgo performance matrix -- generated by bench/matrix.sh, do not hand-edit
# measured_utc	2026-08-10T18:02:39Z
# ztsc_commit	1c0ec4d
# ztsc_tree	clean
# ztsc_binary	/var/folders/_p/yggnz0zd6fd35b9dw9p92ylc0000gn/T//ztsc-matrix-54165/out/bench/ztsc
# tsgo_version	Version 7.0.2
# tsgo_binary	bench/baselines/tsgo/node_modules/@typescript/typescript-darwin-arm64/lib/tsc
# host	Darwin 25.6.0 arm64 / Apple M4 / 10 cores
# lib_runs	9
# app_runs	5
# checkers	1 2 4 8
# timer_floor_ms	1.65
# targets_measured	12
# targets_skipped	1 (vscode)
# total_run_seconds	4228.9
# bars	wall <= 50% of tsgo, peak_rss <= 20% of tsgo
class	key	label	project	parity	tool	checkers	runs	wall_s_median	wall_s_min	wall_s_max	rss_bytes_median	rss_bytes_max	wall_pct_of_tsgo	rss_pct_of_tsgo	exit_code
lib	ajv_8.17.1	ajv 8.17.1	bench/corpus/real/ajv_8.17.1	gated	tsgo	-	9	0.025863	0.024631	0.027239	52166656	52379648	100.0	100.0	2
lib	zod_3.23.8	zod 3.23.8	bench/corpus/real/zod_3.23.8	gated	ztsc	1	9	0.037130	0.036783	0.040049	22052864	22118400	20.3	15.5	1
lib	zod_3.23.8	zod 3.23.8	bench/corpus/real/zod_3.23.8	gated	ztsc	2	9	0.031027	0.030744	0.032960	21512192	21610496	17.0	15.1	1
lib	zod_3.23.8	zod 3.23.8	bench/corpus/real/zod_3.23.8	gated	ztsc	4	9	0.024912	0.024731	0.027144	24051712	24526848	13.6	16.9	1
lib	zod_3.23.8	zod 3.23.8	bench/corpus/real/zod_3.23.8	gated	ztsc	8	9	0.025534	0.024847	0.027165	25739264	26148864	14.0	18.1	1
lib	zod_3.23.8	zod 3.23.8	bench/corpus/real/zod_3.23.8	gated	tsgo	-	9	0.182875	0.179770	0.186836	142163968	147668992	100.0	100.0	2
lib	chalk_5.3.0	chalk 5.3.0	bench/corpus/real/chalk_5.3.0	gated	ztsc	1	9	0.008176	0.007872	0.008192	8175616	8192000	41.2	18.0	1
lib	chalk_5.3.0	chalk 5.3.0	bench/corpus/real/chalk_5.3.0	gated	ztsc	2	9	0.006867	0.006793	0.007141	8585216	8683520	34.6	18.9	1
lib	chalk_5.3.0	chalk 5.3.0	bench/corpus/real/chalk_5.3.0	gated	ztsc	4	9	0.006380	0.006256	0.006507	9519104	9617408	32.1	20.9	1
lib	chalk_5.3.0	chalk 5.3.0	bench/corpus/real/chalk_5.3.0	gated	ztsc	8	9	0.006537	0.006286	0.006950	9617408	9764864	32.9	21.1	1
lib	chalk_5.3.0	chalk 5.3.0	bench/corpus/real/chalk_5.3.0	gated	tsgo	-	9	0.019856	0.019684	0.020788	45514752	46071808	100.0	100.0	2
app	excalidraw	excalidraw	bench/apps/excalidraw/tsconfig.tsgo.json	gated	ztsc	1	5	0.494349	0.477853	0.590644	103219200	103235584	67.1	15.4	1
app	excalidraw	excalidraw	bench/apps/excalidraw/tsconfig.tsgo.json	gated	ztsc	2	5	0.311256	0.310457	0.338827	113328128	113606656	42.2	16.9	1
app	excalidraw	excalidraw	bench/apps/excalidraw/tsconfig.tsgo.json	gated	ztsc	4	5	0.251125	0.244623	0.255338	116965376	117538816	34.1	17.4	1
app	excalidraw	excalidraw	bench/apps/excalidraw/tsconfig.tsgo.json	gated	ztsc	8	5	0.219693	0.213954	0.228718	139804672	141082624	29.8	20.8	1
app	excalidraw	excalidraw	bench/apps/excalidraw/tsconfig.tsgo.json	gated	tsgo	-	5	0.736894	0.724085	0.792797	671121408	674873344	100.0	100.0	1
